image_id,question_id,image_path,image_type,skill_type,difficulty,question,expected_answer,answer_type,source,notes
chart_03,chart_03_q1,data/images/chart/chart_03.png,chart,stacked_chart_understanding,medium,图中全年总能耗最高的是哪个月份，总量是多少？,8 月（Aug）最高，总能耗为 300 kWh。,short_text,self_generated,测试堆叠柱状图总量读取。
chart_04,chart_04_q1,data/images/chart/chart_04.png,chart,chart_comparison,medium,在 SNR = -4 dB 时，哪条模型曲线的准确率最高？,mobilevit 的准确率最高。,short_text,self_generated,测试多折线图在指定横轴位置的比较能力。
chart_05,chart_05_q1,data/images/chart/chart_05.png,chart,chart_comparison,easy,图中平均测试准确率最高的模型是哪一个，数值是多少？,resnet50 最高，平均测试准确率为 97.79%。,short_text,self_generated,测试柱状图排序和数值读取。
chart_06,chart_06_q1,data/images/chart/chart_06.png,chart,scatter_plot_understanding,medium,散点图中参数量最大的模型是哪一个？,swin_tiny_patch4_window7_224，也就是图中标注的 swin。,short_text,self_generated,测试散点图横轴最大值识别。
OCR_01,OCR_01_q1,data/images/OCR/OCR_01.png,ocr_document,OCR,easy,截图中的主标题是什么？,MLLM Research RAG Assistant。,short_text,self_screenshot,测试中文界面中的英文标题 OCR。
OCR_02,OCR_02_q1,data/images/OCR/OCR_02.png,ocr_code_screenshot,code_OCR,medium,代码截图中 DEFAULT_TOP_K 的值是多少？,DEFAULT_TOP_K 的值是 6。,number,self_screenshot,测试代码截图中变量和值的读取。
OCR_03,OCR_03_q1,data/images/OCR/OCR_03.png,ocr_paper,academic_OCR,easy,论文标题中提到的图像 patch 大小是多少？,标题中提到的 patch 大小是 16x16。,short_text,self_collected,测试英文论文标题 OCR。
OCR_04,OCR_04_q1,data/images/OCR/OCR_04.png,ocr_document,Chinese_OCR,medium,通知落款日期是什么？,落款日期是 2026 年 4 月 16 日。,short_text,self_document,测试中文通知中的日期读取。
OCR_05,OCR_05_q1,data/images/OCR/OCR_05.png,ocr_paper,academic_OCR,medium,摘要中提到该方法在无噪声测试集上的测试准确率是多少？,无噪声测试集上的测试准确率是 100.00%。,number,self_collected,测试从摘要长段落中抽取关键数值。
OCR_06,OCR_06_q1,data/images/OCR/OCR_06.png,ocr_bilingual_document,bilingual_OCR,medium,蓝色英文段落开头自我介绍的老师姓什么？,老师姓 Wang，英文写作 Mr. Wang。,short_text,self_document,测试彩色中英混排文本的 OCR。
scene_01,scene_01_q1,data/images/scene/scene_01.jpg,scene_photo,object_recognition,easy,图中人手里拿着的红色物品是什么？,人手里拿着一个红色保温杯或水杯。,short_text,self_photo,测试日常物体识别。
scene_02,scene_02_q1,data/images/scene/scene_02.jpg,scene_photo,scene_OCR,medium,墙上装裱的书法作品主要写着哪四个大字？,主要写着“大音希声”。,short_text,self_photo,测试场景照片中的中文书法识别。
scene_03,scene_03_q1,data/images/scene/scene_03.jpg,scene_photo,counting,easy,图中有几块正在显示湖景桌面的屏幕？,有两块屏幕：一台笔记本屏幕和一台外接显示器。,number,self_photo,测试场景计数和显示内容识别。
scene_04,scene_04_q1,data/images/scene/scene_04.jpg,scene_photo,hallucination_risk,medium,仅凭这张建筑照片，能否确定拍摄城市的准确名称？,不能。图中没有清晰提供足以确定拍摄城市的文字或地标信息。,no_answer,self_photo,反幻觉问题，避免模型编造地点。
scene_05,scene_05_q1,data/images/scene/scene_05.jpg,scene_photo,scene_OCR,easy,图片中的影碟或包装属于哪个电影系列？,属于 The Lord of the Rings（指环王）系列。,short_text,self_photo,测试场景中的英文标题识别。
scene_06,scene_06_q1,data/images/scene/scene_06.jpg,scene_photo,spatial_reasoning,easy,图中粉色盖子的容器旁边是否能看到金属门把手或门锁？,是。粉色盖子的容器旁边能看到金属门把手或门锁。,yes_no,self_photo,测试物体邻近关系和空间理解。
scene_07,scene_07_q1,data/images/scene/scene_07.jpg,poster_photo,scene_OCR,easy,海报上的电影名称是什么？,电影名称是 F1 The Movie。,short_text,self_photo,测试海报文字识别。
scene_08,scene_08_q1,data/images/scene/scene_08.jpg,scene_photo,object_recognition,easy,这些水果串主要放在什么颜色的托盘或盒子上？,主要放在白色托盘或白色盒子上。,short_text,self_photo,测试日常场景中的物体和颜色识别。
scene_09,scene_09_q1,data/images/scene/scene_09.jpg,scene_photo,handwritten_OCR,medium,纸上手写英文句子的开头两个词是什么？,开头两个词是“if you”。,short_text,self_photo,测试手写英文 OCR。
table_01,table_01_q1,data/images/table/table_01.png,table,table_understanding,medium,标签为 Inner_Race_014 的样本对应的故障位置和损伤直径是多少？,故障位置为内圈，损伤直径为 0.014 inch。,evidence_based_reasoning,self_collected,测试表格行定位和多列读取。
table_02,table_02_q1,data/images/table/table_02.png,table,table_comparison,easy,Clean 数据集上测试准确率最高的模型是哪一个，准确率是多少？,MobileViT-S 最高，测试准确率为 100.00%。,short_text,self_collected,测试表格最大值识别。
table_03,table_03_q1,data/images/table/table_03.png,table,table_understanding,easy,No noise 条件下测试准确率为 100.00 的模型是哪一个？,MobileViT-S 在 No noise 条件下的测试准确率为 100.00。,short_text,self_collected,测试表格指定列查找。
table_04,table_04_q1,data/images/table/table_04.png,table,table_understanding,medium,InternVL3.5-38B 的 Vision Encoder 和总参数量分别是什么？,Vision Encoder 是 InternViT-6B，总参数量为 38.4B。,short_text,self_collected,测试英文表格中的行列对应关系。
table_05,table_05_q1,data/images/table/table_05.png,table,table_comparison,hard,在 HumanEval 这一行中，哪个模型的分数最高，分数是多少？,Claude 3.5 Sonnet 的分数最高，为 92.0。,short_text,self_collected,测试宽表格中跨多列比较。
table_06,table_06_q1,data/images/table/table_06.png,table,table_understanding,hard,在 MathVista mini 这一行中，Qwen2.5-VL 72B 的得分是多少？,Qwen2.5-VL 72B 在 MathVista mini 上的得分是 74.8。,number,self_collected,测试复杂论文表格中的指定单元格读取。
ui_01,ui_01_q1,data/images/ui/ui_01.png,ui_screenshot,UI_understanding,easy,截图中央输入框上方显示的中文问题是什么？,显示的问题是“我们该在 try 中做什么？”。,short_text,self_screenshot,测试 UI 截图中的中文文本识别。
ui_02,ui_02_q1,data/images/ui/ui_02.png,ui_screenshot,UI_understanding,easy,GitHub 页面左侧个人资料区显示的昵称是什么？,昵称是 City_Hunt。,short_text,self_screenshot,测试网页 UI 中的用户信息读取。
ui_03,ui_03_q1,data/images/ui/ui_03.png,ui_screenshot,UI_understanding,medium,右侧 Trending 列表中排在第一位的模型名称是什么？,排在第一位的是 SulphurAI/Sulphur-2-base。,short_text,self_screenshot,测试网页列表区域的读取。
ui_04,ui_04_q1,data/images/ui/ui_04.png,ui_screenshot,UI_understanding,easy,中间快捷提示中，“项目视图”的快捷键是什么？,“项目视图”的快捷键是 Alt+1。,short_text,self_screenshot,测试 IDE 欢迎页中的快捷键读取。
ui_05,ui_05_q1,data/images/ui/ui_05.png,ui_screenshot,UI_understanding,easy,这个 VS Code 界面中，“打开文件”的快捷键是什么？,“打开文件”的快捷键是 Ctrl+O。,short_text,self_screenshot,测试 VS Code 欢迎页中的快捷键读取。
