image_id,question_id,image_path,image_type,skill_type,difficulty,question,expected_answer,answer_type,source,notes,model_name,prompt_mode,prompt,model_answer,inference_time,error_note,whether_answer_is_usable
chart_03,chart_03_q1,data/images/chart/chart_03.png,chart,stacked_chart_understanding,medium,图中全年总能耗最高的是哪个月份，总量是多少？,8 月（Aug）最高，总能耗为 300 kWh。,short_text,self_generated,测试堆叠柱状图总量读取。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中全年总能耗最高的是哪个月份，总量是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The graph shows the monthly energy consumption for different sectors (Residential, Commercial, and Industrial) in Metropolis for 2023.

Reasoning: To determine the month with the highest total energy consumption, we need to sum up the energy consumption values for all three sectors for each month. The highest total consumption will be the one with the highest value.

Final Answer: The month with the highest total energy consumption is August, with a total of 300 kvWh.",20.9895,,True
chart_04,chart_04_q1,data/images/chart/chart_04.png,chart,chart_comparison,medium,在 SNR = -4 dB 时，哪条模型曲线的准确率最高？,mobilevit 的准确率最高。,short_text,self_generated,测试多折线图在指定横轴位置的比较能力。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：在 SNR = -4 dB 时，哪条模型曲线的准确率最高？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 在 SNR = -4 dB 时，resnet50 模型的曲线是最高的。

Reasoning: 观察图表，当 SNR 达到-4 dB 时，resnet50 模型的曲线位于所有其他模型曲线之上，表明其在此条件下具有最高的准确率。

Final Answer: 在 SNR = -4 dB 时，resnet50 模型的准确率最高。",19.4618,,True
chart_05,chart_05_q1,data/images/chart/chart_05.png,chart,chart_comparison,easy,图中平均测试准确率最高的模型是哪一个，数值是多少？,resnet50 最高，平均测试准确率为 97.79%。,short_text,self_generated,测试柱状图排序和数值读取。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中平均测试准确率最高的模型是哪一个，数值是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The bar chart shows the average test accuracy for different models under noisy conditions, ranging from 4dB to -4dB.

Reasoning: To determine which model has the highest average test accuracy, we need to compare the heights of the bars corresponding to each model. The model with the tallest bar will have the highest average test accuracy.

Final Answer: The model with the highest average test accuracy is resnet50, with an accuracy of 97.79%.",19.508,,True
chart_06,chart_06_q1,data/images/chart/chart_06.png,chart,scatter_plot_understanding,medium,散点图中参数量最大的模型是哪一个？,swin_tiny_patch4_window7_224，也就是图中标注的 swin。,short_text,self_generated,测试散点图横轴最大值识别。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：散点图中参数量最大的模型是哪一个？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The scatter plot shows different models with varying parameters and test accuracy.

Reasoning: To determine which model has the largest parameter count, we need to compare the x-axis values of each model's data point. The model with the highest x-axis value will have the largest number of parameters.

Final Answer: The model with the largest parameter count is ""swin"".",14.1761,,True
OCR_01,OCR_01_q1,data/images/OCR/OCR_01.png,ocr_document,OCR,easy,截图中的主标题是什么？,MLLM Research RAG Assistant。,short_text,self_screenshot,测试中文界面中的英文标题 OCR。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：截图中的主标题是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 截图中的主标题是 ""MLLM Research RAG Assistant""。

Reasoning: 主标题位于图片的顶部，直接显示了该文档的主题。

Final Answer: MLLM Research RAG Assistant",8.994,,True
OCR_02,OCR_02_q1,data/images/OCR/OCR_02.png,ocr_code_screenshot,code_OCR,medium,代码截图中 DEFAULT_TOP_K 的值是多少？,DEFAULT_TOP_K 的值是 6。,number,self_screenshot,测试代码截图中变量和值的读取。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：代码截图中 DEFAULT_TOP_K 的值是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The code snippet shows the following line:
```python
DEFAULT_TOP_K = 6
```
Reasoning: The value of `DEFAULT_TOP_K` is explicitly stated in the code.
Final Answer: DEFAULT_TOP_K 的值是 6。",10.6304,,True
OCR_03,OCR_03_q1,data/images/OCR/OCR_03.png,ocr_paper,academic_OCR,easy,论文标题中提到的图像 patch 大小是多少？,标题中提到的 patch 大小是 16x16。,short_text,self_collected,测试英文论文标题 OCR。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：论文标题中提到的图像 patch 大小是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The paper title mentions ""An Image is Worth 16x16 Words"".
Reasoning: The image does not provide information about the size of the image patches used in the paper.
Final Answer: 图中无法确定。",9.6686,,True
OCR_04,OCR_04_q1,data/images/OCR/OCR_04.png,ocr_document,Chinese_OCR,medium,通知落款日期是什么？,落款日期是 2026 年 4 月 16 日。,short_text,self_document,测试中文通知中的日期读取。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：通知落款日期是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The date mentioned in the document is April 16, 2026.
Reasoning: The document clearly states ""后勤保障处"" (Lügōng Bǎogào Chu) and the date ""2026年4月16日"" (April 16, 2026).
Final Answer: The notification's落款date is April 16, 2026.",17.6363,,True
OCR_05,OCR_05_q1,data/images/OCR/OCR_05.png,ocr_paper,academic_OCR,medium,摘要中提到该方法在无噪声测试集上的测试准确率是多少？,无噪声测试集上的测试准确率是 100.00%。,number,self_collected,测试从摘要长段落中抽取关键数值。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：摘要中提到该方法在无噪声测试集上的测试准确率是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The abstract states that the proposed method achieves a test accuracy of 100.00% on the no-noise test set.

Reasoning: This information is directly provided in the text, indicating that the method performs perfectly without any noise interference.

Final Answer: 100.00%",12.1197,,True
OCR_06,OCR_06_q1,data/images/OCR/OCR_06.png,ocr_bilingual_document,bilingual_OCR,medium,蓝色英文段落开头自我介绍的老师姓什么？,老师姓 Wang，英文写作 Mr. Wang。,short_text,self_document,测试彩色中英混排文本的 OCR。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：蓝色英文段落开头自我介绍的老师姓什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The blue English paragraph starts with ""Welcome, everyone. I'm Mr. Wang.""
Reasoning: The text is in Chinese and the first sentence introduces the speaker as ""Mr. Wang."" This indicates that the teacher's name is Wang.
Final Answer: The teacher's name is Wang.",11.9445,,True
scene_01,scene_01_q1,data/images/scene/scene_01.jpg,scene_photo,object_recognition,easy,图中人手里拿着的红色物品是什么？,人手里拿着一个红色保温杯或水杯。,short_text,self_photo,测试日常物体识别。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中人手里拿着的红色物品是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The person is holding a cylindrical red object with a gold emblem and text on it.

Reasoning: The object has a red color, a gold emblem featuring a lion, and text that includes ""Gryffindor"" and ""Harry Potter."" These details suggest that the object is related to the Harry Potter series, specifically the Gryffindor house from the books and movies.

Final Answer: The red item in the person's hand is likely a Gryffindor-themed product, possibly a water bottle or a collectible item, given its design and the reference to Harry Potter.",23.3186,,True
scene_02,scene_02_q1,data/images/scene/scene_02.jpg,scene_photo,scene_OCR,medium,墙上装裱的书法作品主要写着哪四个大字？,主要写着“大音希声”。,short_text,self_photo,测试场景照片中的中文书法识别。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：墙上装裱的书法作品主要写着哪四个大字？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 图片显示了一幅挂在墙上的书法作品，作品上写有四个大字。

Reasoning: 根据图片中的文字描述，可以确定这幅书法作品上写着四个大字。

Final Answer: 大青师朴",11.5279,,True
scene_03,scene_03_q1,data/images/scene/scene_03.jpg,scene_photo,counting,easy,图中有几块正在显示湖景桌面的屏幕？,有两块屏幕：一台笔记本屏幕和一台外接显示器。,number,self_photo,测试场景计数和显示内容识别。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中有几块正在显示湖景桌面的屏幕？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 图中有两块正在显示湖景桌面的屏幕。

Reasoning: 从图片中可以看到，左边是一台笔记本电脑，右边是一台显示器。这两台设备都显示了相同的湖景桌面背景。

Final Answer: 2块",11.8096,,True
scene_04,scene_04_q1,data/images/scene/scene_04.jpg,scene_photo,hallucination_risk,medium,仅凭这张建筑照片，能否确定拍摄城市的准确名称？,不能。图中没有清晰提供足以确定拍摄城市的文字或地标信息。,no_answer,self_photo,反幻觉问题，避免模型编造地点。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：仅凭这张建筑照片，能否确定拍摄城市的准确名称？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The image shows a modern cityscape with tall buildings, including one with the logo ""CEB"" on its facade. There are also traffic lights and a bus in the foreground.

Reasoning: While the presence of the ""CEB"" logo suggests that the building might be related to a company or organization named CEB, it does not provide enough specific information to determine the exact name of the city. Additionally, the architecture and other elements do not uniquely identify a particular city.

Final Answer: 图中无法确定。",19.7471,,True
scene_05,scene_05_q1,data/images/scene/scene_05.jpg,scene_photo,scene_OCR,easy,图片中的影碟或包装属于哪个电影系列？,属于 The Lord of the Rings（指环王）系列。,short_text,self_photo,测试场景中的英文标题识别。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图片中的影碟或包装属于哪个电影系列？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The image shows movie posters and a certificate for ""The Lord of the Rings"" motion picture trilogy, including ""The Fellowship of the Ring,"" ""Two Towers,"" and ""The Return of the King.""

Reasoning: The text on the posters and the certificate clearly indicates that these items belong to the ""Lord of the Rings"" film series.

Final Answer: The movie series is ""The Lord of the Rings.""",15.8349,,True
scene_06,scene_06_q1,data/images/scene/scene_06.jpg,scene_photo,spatial_reasoning,easy,图中粉色盖子的容器旁边是否能看到金属门把手或门锁？,是。粉色盖子的容器旁边能看到金属门把手或门锁。,yes_no,self_photo,测试物体邻近关系和空间理解。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：图中粉色盖子的容器旁边是否能看到金属门把手或门锁？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 图中粉色盖子的容器旁边可以看到一个金属门把手。

Reasoning: 根据图片，粉色盖子的容器旁边有一个明显的金属物体，形状和大小与门把手相似，因此可以推断这是一个门把手。

Final Answer: 能看到金属门把手。",11.5223,,True
scene_07,scene_07_q1,data/images/scene/scene_07.jpg,poster_photo,scene_OCR,easy,海报上的电影名称是什么？,电影名称是 F1 The Movie。,short_text,self_photo,测试海报文字识别。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：海报上的电影名称是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The poster features the title ""The Movie"" prominently at the top, with additional text indicating it is from the director of Top Gun: Maverick and includes actors' names.

Reasoning: The central focus of the image is the movie title, which is clearly displayed in large, bold letters at the top of the poster.

Final Answer: The movie name on the poster is ""The Movie.""",15.0877,,True
scene_08,scene_08_q1,data/images/scene/scene_08.jpg,scene_photo,object_recognition,easy,这些水果串主要放在什么颜色的托盘或盒子上？,主要放在白色托盘或白色盒子上。,short_text,self_photo,测试日常场景中的物体和颜色识别。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：这些水果串主要放在什么颜色的托盘或盒子上？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 图片中的托盘或盒子是白色的，带有红色的把手。

Reasoning: 从图片中可以看到托盘或盒子的颜色和形状，白色为主色调，配有红色的把手。

Final Answer: 这些水果串主要放在白色的托盘或盒子里。",11.9802,,True
scene_09,scene_09_q1,data/images/scene/scene_09.jpg,scene_photo,handwritten_OCR,medium,纸上手写英文句子的开头两个词是什么？,开头两个词是“if you”。,short_text,self_photo,测试手写英文 OCR。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：纸上手写英文句子的开头两个词是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The image shows a piece of paper with handwritten text on it.

Reasoning: The first two words visible in the handwriting are ""if you.""

Final Answer: if you",7.6577,,True
table_01,table_01_q1,data/images/table/table_01.png,table,table_understanding,medium,标签为 Inner_Race_014 的样本对应的故障位置和损伤直径是多少？,故障位置为内圈，损伤直径为 0.014 inch。,evidence_based_reasoning,self_collected,测试表格行定位和多列读取。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：标签为 Inner_Race_014 的样本对应的故障位置和损伤直径是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 标签为 Inner_Race_014 的样本对应的故障位置是内圈，损伤直径是 0.014 inch。

Reasoning: 在表2-1中，我们可以看到标签为 Inner_Race_014 的行，其对应的轴承状态是故障，故障位置是内圈，损伤直径是 0.014 inch。

Final Answer: 标签为 Inner_Race_014 的样本对应的故障位置是内圈，损伤直径是 0.014 inch。",22.2461,,True
table_02,table_02_q1,data/images/table/table_02.png,table,table_comparison,easy,Clean 数据集上测试准确率最高的模型是哪一个，准确率是多少？,MobileViT-S 最高，测试准确率为 100.00%。,short_text,self_collected,测试表格最大值识别。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：Clean 数据集上测试准确率最高的模型是哪一个，准确率是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 表格中显示了在Clean数据集上五种模型的综合性能对比。

Reasoning: 从表格中的""测试准确率(%)""列可以看出，MobileViT-S的测试准确率为100.00%，这是所有模型中最高的。

Final Answer: Clean数据集上测试准确率最高的模型是MobileViT-S，准确率为100.00%。",18.2756,,True
table_03,table_03_q1,data/images/table/table_03.png,table,table_understanding,easy,No noise 条件下测试准确率为 100.00 的模型是哪一个？,MobileViT-S 在 No noise 条件下的测试准确率为 100.00。,short_text,self_collected,测试表格指定列查找。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：No noise 条件下测试准确率为 100.00 的模型是哪一个？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 在 No noise 条件下，测试准确率最高的模型是 MobileViT-S。

Reasoning: 表格中，MobileViT-S 在所有 SNR 条件下（包括 No noise）的测试准确率都是 100.00%。

Final Answer: MobileViT-S",14.2898,,True
table_04,table_04_q1,data/images/table/table_04.png,table,table_understanding,medium,InternVL3.5-38B 的 Vision Encoder 和总参数量分别是什么？,Vision Encoder 是 InternViT-6B，总参数量为 38.4B。,short_text,self_collected,测试英文表格中的行列对应关系。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：InternVL3.5-38B 的 Vision Encoder 和总参数量分别是什么？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: The table shows that InternVL3.5-38B uses InternViT-6B as the Vision Encoder and has a total of 38.4 billion parameters.

Reasoning: According to the table, the Vision Encoder for InternVL3.5-38B is listed as InternViT-6B, and its total number of parameters is given as 38.4 billion.

Final Answer: InternVL3.5-38B's Vision Encoder is InternViT-6B, and its total parameter count is 38.4 billion.",24.0496,,True
table_05,table_05_q1,data/images/table/table_05.png,table,table_comparison,hard,在 HumanEval 这一行中，哪个模型的分数最高，分数是多少？,Claude 3.5 Sonnet 的分数最高，为 92.0。,short_text,self_collected,测试宽表格中跨多列比较。,Qwen/Qwen2.5-VL-3B-Instruct,structured_zh,"请严格基于图像内容回答问题。不要猜测图中看不到的信息。
如果图中无法判断，请明确回答“图中无法确定”。

问题：在 HumanEval 这一行中，哪个模型的分数最高，分数是多少？

请用以下格式回答：
Observation:
Reasoning:
Final Answer:","Observation: 在 HumanEval 这一行中，Claude 3.5 Sonnet 的分数最高，分数是 92.0。

Reasoning: 我们需要查看表格中 HumanEval 这一行的所有模型，并找出分数最高的那个。在这个例子中，Claude 3.5 Sonnet 的分数为 92.0，这是所有模型中最高的。

Final Answer: 在 HumanEval 这一行中，Claude 3.5 Sonnet 的分数最高，分数是 92.0。",21.9942,,True
